sample,box,label,status,note,start_new_york,end_new_york,box_bars,box_duration_min,box_range_pips,box_bb_width_median,first_close_break_dir,first_close_break_min,first_1r_target_dir,first_1r_target_min,max_up_r_30m,max_down_r_30m,max_extension_r_30m,realized_range_r_30m,bb_expand_ratio_30m,hit_0.75r_30m,hit_1.00r_30m,hit_1.50r_30m,hit_2.00r_30m,max_up_r_60m,max_down_r_60m,max_extension_r_60m,realized_range_r_60m,bb_expand_ratio_60m,hit_0.75r_60m,hit_1.00r_60m,hit_1.50r_60m,hit_2.00r_60m,max_up_r_90m,max_down_r_90m,max_extension_r_90m,realized_range_r_90m,bb_expand_ratio_90m,hit_0.75r_90m,hit_1.00r_90m,hit_1.50r_90m,hit_2.00r_90m,max_up_r_120m,max_down_r_120m,max_extension_r_120m,realized_range_r_120m,bb_expand_ratio_120m,hit_0.75r_120m,hit_1.00r_120m,hit_1.50r_120m,hit_2.00r_120m,dominant_dir_120m,first_break_headfake_120m
49,1,compression,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,7,35,5.1,10.27,down,5.0,down,60.0,0.314,0.941,0.941,2.255,2.65,True,False,False,False,0.314,1.02,1.02,2.333,2.65,True,True,False,False,0.314,2.902,2.902,4.216,2.65,True,True,True,True,0.314,2.902,2.902,4.216,2.682,True,True,True,True,down,False
49,2,compression,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,7,35,3.9,7.02,up,5.0,down,60.0,0.538,0.256,0.538,1.795,1.951,False,False,False,False,0.538,1.128,1.128,2.667,2.086,True,True,False,False,0.538,1.128,1.128,2.667,2.086,True,True,False,False,0.744,1.128,1.128,2.872,2.086,True,True,False,False,down,True
49,3,compression,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,8,40,4.8,7.87,up,5.0,up,110.0,0.708,0.0,0.708,1.583,1.815,False,False,False,False,0.708,0.292,0.708,2.0,2.455,False,False,False,False,0.708,0.292,0.708,2.0,2.455,False,False,False,False,1.667,0.292,1.667,2.958,3.241,True,True,True,False,up,False
49,4,compression,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,12,60,7.6,8.98,up,10.0,up,30.0,1.092,0.0,1.092,1.382,2.841,True,True,False,False,3.0,0.0,3.0,3.289,3.803,True,True,True,True,4.211,0.0,4.211,4.5,4.143,True,True,True,True,4.211,0.0,4.211,4.5,4.833,True,True,True,True,up,False
49,1,random_control,accepted,same-window random duration control,2022-02-28 20:10 EST,2022-02-28 20:40 EST,7,35,8.2,13.52,down,30.0,down,30.0,0.0,1.171,1.171,1.537,1.807,True,True,False,False,0.0,1.171,1.171,1.537,2.038,True,True,False,False,0.0,1.171,1.171,1.537,2.038,True,True,False,False,0.0,1.171,1.171,1.537,2.038,True,True,False,False,down,False
49,2,random_control,accepted,same-window random duration control,2022-03-01 02:30 EST,2022-03-01 03:00 EST,7,35,18.4,20.66,down,95.0,down,95.0,0.0,0.168,0.168,0.701,2.1,False,False,False,False,0.0,0.168,0.168,0.984,2.1,False,False,False,False,0.0,0.168,0.168,0.984,2.1,False,False,False,False,0.0,1.359,1.359,2.174,3.604,True,True,False,False,down,False
49,3,random_control,accepted,same-window random duration control,2022-02-28 20:25 EST,2022-02-28 21:00 EST,8,40,9.0,14.93,down,10.0,down,115.0,0.0,0.978,0.978,1.222,1.845,True,False,False,False,0.0,0.978,0.978,1.222,1.845,True,False,False,False,0.0,0.978,0.978,1.222,1.845,True,False,False,False,0.0,1.222,1.222,1.467,1.845,True,True,False,False,down,False
49,4,random_control,accepted,same-window random duration control,2022-02-28 20:10 EST,2022-02-28 21:05 EST,12,60,10.0,13.72,down,5.0,,,0.0,0.78,0.78,0.92,2.007,True,False,False,False,0.0,0.78,0.78,0.92,2.007,True,False,False,False,0.0,0.78,0.78,0.92,2.007,True,False,False,False,0.0,1.0,1.0,1.14,2.007,True,False,False,False,down,False
50,1,compression,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,10,50,6.9,8.24,up,10.0,up,30.0,1.0,0.0,1.0,1.565,2.675,True,True,False,False,1.551,0.0,1.551,2.116,2.675,True,True,True,False,1.551,0.0,1.551,2.116,2.675,True,True,True,False,1.551,0.0,1.551,2.116,2.675,True,True,True,False,up,False
50,2,compression,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,9,45,7.4,11.69,down,30.0,down,35.0,0.919,0.946,0.946,2.865,2.429,True,False,False,False,0.919,2.095,2.095,4.014,2.964,True,True,True,True,0.919,2.541,2.541,4.459,4.311,True,True,True,True,0.919,2.541,2.541,4.459,4.311,True,True,True,True,down,False
50,3,compression,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,9,45,8.7,12.0,up,15.0,up,70.0,0.839,0.0,0.839,1.322,2.116,True,False,False,False,0.943,0.0,0.943,1.425,2.116,True,False,False,False,1.264,0.0,1.264,1.747,2.116,True,True,False,False,1.701,0.0,1.701,2.184,2.116,True,True,True,False,up,False
50,4,compression,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,7,35,4.7,7.38,up,20.0,up,60.0,0.787,0.0,0.787,1.574,1.953,True,False,False,False,1.043,0.085,1.043,2.128,2.806,True,True,False,False,3.723,0.085,3.723,4.809,4.11,True,True,True,True,3.723,0.085,3.723,4.809,5.15,True,True,True,True,up,False
50,1,random_control,accepted,same-window random duration control,2023-11-29 13:40 EST,2023-11-29 14:25 EST,10,50,16.1,19.62,down,50.0,,,0.0,0.112,0.112,0.484,1.936,False,False,False,False,0.0,0.391,0.391,0.764,1.936,False,False,False,False,0.0,0.478,0.478,0.851,1.936,False,False,False,False,0.0,0.478,0.478,0.851,1.936,False,False,False,False,down,False
50,2,random_control,accepted,same-window random duration control,2023-11-29 09:15 EST,2023-11-29 09:55 EST,9,45,28.8,25.29,,,,,0.014,0.063,0.063,1.076,3.339,False,False,False,False,0.014,0.063,0.063,1.076,3.339,False,False,False,False,0.014,0.063,0.063,1.076,3.339,False,False,False,False,0.014,0.063,0.063,1.076,3.339,False,False,False,False,down,False
50,3,random_control,accepted,same-window random duration control,2023-11-29 09:35 EST,2023-11-29 10:15 EST,9,45,29.1,37.11,,,,,0.0,0.065,0.065,0.302,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,0.0,0.065,0.065,0.605,2.275,False,False,False,False,down,False
50,4,random_control,accepted,same-window random duration control,2023-11-29 08:30 EST,2023-11-29 09:00 EST,7,35,29.7,26.93,down,80.0,,,0.0,0.111,0.111,0.764,1.8,False,False,False,False,0.0,0.111,0.111,0.983,1.871,False,False,False,False,0.0,0.172,0.172,1.044,3.135,False,False,False,False,0.0,0.172,0.172,1.044,3.135,False,False,False,False,down,False
51,1,compression,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,12,60,5.4,7.45,,,,,0.0,0.0,0.0,0.611,0.992,False,False,False,False,0.0,0.0,0.0,0.648,0.992,False,False,False,False,0.0,0.0,0.0,0.685,1.3,False,False,False,False,0.0,0.0,0.0,0.741,1.3,False,False,False,False,,False
51,2,compression,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,10,50,3.8,4.85,up,10.0,,,0.316,0.0,0.316,0.868,1.86,False,False,False,False,0.316,0.0,0.316,0.868,1.86,False,False,False,False,0.947,0.0,0.947,1.5,1.86,True,False,False,False,0.974,0.0,0.974,1.526,1.86,True,False,False,False,up,False
51,3,compression,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,12,60,3.9,3.84,up,35.0,up,75.0,0.077,0.051,0.077,1.128,1.782,False,False,False,False,0.897,0.051,0.897,1.949,3.286,True,False,False,False,1.0,0.051,1.0,2.051,3.286,True,True,False,False,1.385,0.051,1.385,2.436,3.286,True,True,False,False,up,False
51,4,compression,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,7,35,4.4,10.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
