box,variant,direction,box_start_i,box_end_i,box_low,box_high,box_mid,box_bars,box_range_pips,target_pips,reward_to_risk,signal_i,signal_time,signal_time_new_york,entry_price,trade_status,entry_filter,entry_i,entry_time,entry_time_new_york,time_block,stop_price,target_price,outcome,exit_time,exit_time_new_york,exit_price,gross_pips,net_pips
1,mid,short,0,7,1.16628,1.16676,1.16652,8,4.8,10.0,1.0,12,2026-01-13 06:00:00+00:00,2026-01-13 01:00 EST,1.16652,not_filled,,,,,,,,not_filled,,,,0.0,0.0
1,edge,short,0,7,1.16628,1.16676,1.16652,8,4.8,10.0,1.0,12,2026-01-13 06:00:00+00:00,2026-01-13 01:00 EST,1.16676,not_filled,,,,,,,,not_filled,,,,0.0,0.0
2,mid,long,14,23,1.16538,1.16588,1.1656300000000002,10,5.0,10.0,1.0,24,2026-01-13 07:00:00+00:00,2026-01-13 02:00 EST,1.1656300000000002,filled,PASS,28.0,2026-01-13 07:20:00+00:00,2026-01-13 02:20 EST,00:00-03:00,1.1646300000000003,1.16663,target,2026-01-13 08:05:00+00:00,2026-01-13 03:05 EST,1.16663,10.0,8.8
2,edge,long,14,23,1.16538,1.16588,1.1656300000000002,10,5.0,10.0,1.0,24,2026-01-13 07:00:00+00:00,2026-01-13 02:00 EST,1.16538,not_filled,,,,,,,,not_filled,,,,0.0,0.0
6,mid,long,144,155,1.16412,1.16488,1.1644999999999999,12,7.6,10.0,1.0,164,2026-01-13 18:40:00+00:00,2026-01-13 13:40 EST,1.1644999999999999,not_filled,,,,,,,,not_filled,,,,0.0,0.0
6,edge,long,144,155,1.16412,1.16488,1.1644999999999999,12,7.6,10.0,1.0,164,2026-01-13 18:40:00+00:00,2026-01-13 13:40 EST,1.16412,not_filled,,,,,,,,not_filled,,,,0.0,0.0
7,mid,short,169,179,1.16462,1.16514,1.1648800000000001,11,5.2,10.0,1.0,186,2026-01-13 20:30:00+00:00,2026-01-13 15:30 EST,1.1648800000000001,filled,FILTERED 15:00-17:00,188.0,2026-01-13 20:40:00+00:00,2026-01-13 15:40 EST,15:00-17:00,1.16588,1.1638800000000002,time_exit,2026-01-13 22:40:00+00:00,2026-01-13 17:40 EST,1.16428,6.0,4.8
7,edge,short,169,179,1.16462,1.16514,1.1648800000000001,11,5.2,10.0,1.0,186,2026-01-13 20:30:00+00:00,2026-01-13 15:30 EST,1.16514,not_filled,,,,,,,,not_filled,,,,0.0,0.0
8,mid,short,232,240,1.16395,1.16437,1.1641599999999999,9,4.2,10.0,1.0,241,2026-01-14 01:05:00+00:00,2026-01-13 20:05 EST,1.1641599999999999,filled,PASS,258.0,2026-01-14 02:30:00+00:00,2026-01-13 21:30 EST,17:00-24:00,1.1651599999999998,1.16316,time_exit,2026-01-14 04:30:00+00:00,2026-01-13 23:30 EST,1.16448,-3.2,-4.4
8,edge,short,232,240,1.16395,1.16437,1.1641599999999999,9,4.2,10.0,1.0,241,2026-01-14 01:05:00+00:00,2026-01-13 20:05 EST,1.16437,filled,PASS,262.0,2026-01-14 02:50:00+00:00,2026-01-13 21:50 EST,17:00-24:00,1.1653699999999998,1.16337,time_exit,2026-01-14 04:50:00+00:00,2026-01-13 23:50 EST,1.1644,-0.3,-1.5
9,mid,long,247,258,1.16362,1.16416,1.16389,12,5.4,10.0,1.0,261,2026-01-14 02:45:00+00:00,2026-01-13 21:45 EST,1.16389,not_filled,,,,,,,,not_filled,,,,0.0,0.0
9,edge,long,247,258,1.16362,1.16416,1.16389,12,5.4,10.0,1.0,261,2026-01-14 02:45:00+00:00,2026-01-13 21:45 EST,1.16362,not_filled,,,,,,,,not_filled,,,,0.0,0.0
10,mid,short,270,281,1.16446,1.1649,1.1646800000000002,12,4.4,10.0,1.0,286,2026-01-14 04:50:00+00:00,2026-01-13 23:50 EST,1.1646800000000002,not_filled,,,,,,,,not_filled,,,,0.0,0.0
10,edge,short,270,281,1.16446,1.1649,1.1646800000000002,12,4.4,10.0,1.0,286,2026-01-14 04:50:00+00:00,2026-01-13 23:50 EST,1.1649,not_filled,,,,,,,,not_filled,,,,0.0,0.0
