sample,box,status,box_start_new_york,box_end_new_york,box_range_pips,hit_1r_120m,target_dir,target_time_new_york
49,1,accepted,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,True,down,2022-02-28 20:40 EST
49,2,accepted,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,True,down,2022-02-28 23:00 EST
49,3,accepted,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,True,up,2022-03-01 01:45 EST
49,4,accepted,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,True,up,2022-03-01 02:00 EST
50,1,accepted,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,True,up,2023-11-29 06:55 EST
50,2,accepted,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,True,down,2023-11-29 08:40 EST
50,3,accepted,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,True,up,2023-11-29 13:00 EST
50,4,accepted,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,True,up,2023-11-29 13:40 EST
51,1,accepted,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,False,,
51,2,accepted,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,False,,
51,3,accepted,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,True,up,2024-02-07 21:40 EST
51,4,accepted,2024-02-07 23:50 EST,2024-02-08 00:20 EST,4.4,False,,
52,1,accepted,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,True,up,2024-11-26 04:00 EST
52,2,accepted,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,True,up,2024-11-26 07:15 EST
52,4,accepted,2024-11-26 12:15 EST,2024-11-26 13:10 EST,10.3,False,,
53,1,accepted,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,True,down,2025-06-24 23:55 EST
53,2,accepted,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,True,down,2025-06-25 02:55 EST
53,4,accepted,2025-06-25 07:40 EST,2025-06-25 08:20 EST,8.6,False,,
54,1,accepted,2024-02-07 05:40 EST,2024-02-07 06:20 EST,8.5,False,,
54,2,accepted,2024-02-07 06:40 EST,2024-02-07 07:35 EST,8.0,True,up,2024-02-07 08:25 EST
54,3,accepted,2024-02-07 12:10 EST,2024-02-07 12:55 EST,6.4,True,up,2024-02-07 13:10 EST
54,4,accepted,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,False,,
55,1,questionable,2021-09-30 13:40 EST,2021-09-30 14:30 EST,9.0,True,up,2021-09-30 14:55 EST
55,2,accepted,2021-09-30 17:20 EST,2021-09-30 18:15 EST,4.8,True,down,2021-09-30 19:45 EST
55,3,accepted,2021-09-30 19:30 EST,2021-09-30 20:25 EST,7.6,False,,
55,4,accepted,2021-09-30 21:55 EST,2021-09-30 22:50 EST,7.6,False,,
56,1,accepted,2022-08-28 23:15 EST,2022-08-29 00:10 EST,6.6,True,down,2022-08-29 00:45 EST
56,2,accepted,2022-08-29 00:35 EST,2022-08-29 01:20 EST,6.3,True,up,2022-08-29 02:05 EST
56,3,accepted,2022-08-29 03:35 EST,2022-08-29 04:05 EST,12.0,True,down,2022-08-29 04:30 EST
57,1,accepted,2021-12-27 00:35 EST,2021-12-27 01:30 EST,4.1,True,up,2021-12-27 02:25 EST
57,2,accepted,2021-12-27 01:50 EST,2021-12-27 02:20 EST,4.2,True,up,2021-12-27 02:35 EST
57,3,accepted,2021-12-27 04:10 EST,2021-12-27 04:50 EST,6.7,True,up,2021-12-27 05:05 EST
57,4,accepted,2021-12-27 08:10 EST,2021-12-27 09:00 EST,5.3,True,up,2021-12-27 09:20 EST
