sample,box,status,box_start_new_york,box_end_new_york,box_range_pips,hit_1r_120m,target_dir,target_time_new_york,entry_model,entry_time_new_york,required_stop_r,required_stop_pips
49,1,accepted,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,True,down,2022-02-28 20:40 EST,box_boundary_in_eventual_target_direction,2022-02-28 19:45 EST,1.3137254901965223,6.699999999999484
49,2,accepted,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,True,down,2022-02-28 23:00 EST,box_boundary_in_eventual_target_direction,2022-02-28 22:15 EST,1.5384615384618012,5.999999999999339
49,3,accepted,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,True,up,2022-03-01 01:45 EST,box_boundary_in_eventual_target_direction,2022-03-01 00:00 EST,1.2916666666667052,6.200000000000649
49,4,accepted,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,True,up,2022-03-01 02:00 EST,box_boundary_in_eventual_target_direction,2022-03-01 01:40 EST,0.1578947368419515,1.1999999999989797
50,1,accepted,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,True,up,2023-11-29 06:55 EST,box_boundary_in_eventual_target_direction,2023-11-29 06:35 EST,0.26086956521722343,1.7999999999984695
50,2,accepted,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,True,down,2023-11-29 08:40 EST,box_boundary_in_eventual_target_direction,2023-11-29 08:15 EST,1.9189189189189837,14.199999999999768
50,3,accepted,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,True,up,2023-11-29 13:00 EST,box_boundary_in_eventual_target_direction,2023-11-29 11:55 EST,0.4827586206896728,4.20000000000087
50,4,accepted,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,True,up,2023-11-29 13:40 EST,box_boundary_in_eventual_target_direction,2023-11-29 12:45 EST,1.085106382978814,5.1000000000001044
51,3,accepted,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,True,up,2024-02-07 21:40 EST,box_boundary_in_eventual_target_direction,2024-02-07 20:30 EST,1.0512820512824017,4.100000000000215
52,1,accepted,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,True,up,2024-11-26 04:00 EST,box_boundary_in_eventual_target_direction,2024-11-26 03:20 EST,0.5967741935484016,7.399999999999629
52,2,accepted,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,True,up,2024-11-26 07:15 EST,box_boundary_in_eventual_target_direction,2024-11-26 06:45 EST,0.8991596638654474,10.699999999999044
53,1,accepted,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,True,down,2025-06-24 23:55 EST,box_boundary_in_eventual_target_direction,2025-06-24 23:45 EST,0.5964912280702301,3.4000000000000696
53,2,accepted,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,True,down,2025-06-25 02:55 EST,box_boundary_in_eventual_target_direction,2025-06-25 01:15 EST,1.7704918032786408,10.799999999999699
54,2,accepted,2024-02-07 06:40 EST,2024-02-07 07:35 EST,8.0,True,up,2024-02-07 08:25 EST,box_boundary_in_eventual_target_direction,2024-02-07 07:55 EST,0.2874999999999722,2.2999999999995246
54,3,accepted,2024-02-07 12:10 EST,2024-02-07 12:55 EST,6.4,True,up,2024-02-07 13:10 EST,box_boundary_in_eventual_target_direction,2024-02-07 13:00 EST,0.2031249999999512,1.2999999999996348
55,1,questionable,2021-09-30 13:40 EST,2021-09-30 14:30 EST,9.0,True,up,2021-09-30 14:55 EST,box_boundary_in_eventual_target_direction,2021-09-30 14:35 EST,0.2111111111110371,1.8999999999991246
55,2,accepted,2021-09-30 17:20 EST,2021-09-30 18:15 EST,4.8,True,down,2021-09-30 19:45 EST,box_boundary_in_eventual_target_direction,2021-09-30 19:05 EST,0.2916666666667052,1.40000000000029
56,1,accepted,2022-08-28 23:15 EST,2022-08-29 00:10 EST,6.6,True,down,2022-08-29 00:45 EST,box_boundary_in_eventual_target_direction,2022-08-29 00:15 EST,0.7272727272726203,4.799999999999249
56,2,accepted,2022-08-29 00:35 EST,2022-08-29 01:20 EST,6.3,True,up,2022-08-29 02:05 EST,box_boundary_in_eventual_target_direction,2022-08-29 01:25 EST,0.6031746031746591,3.8000000000004697
56,3,accepted,2022-08-29 03:35 EST,2022-08-29 04:05 EST,12.0,True,down,2022-08-29 04:30 EST,box_boundary_in_eventual_target_direction,2022-08-29 04:10 EST,0.06666666666664199,0.7999999999996898
57,1,accepted,2021-12-27 00:35 EST,2021-12-27 01:30 EST,4.1,True,up,2021-12-27 02:25 EST,box_boundary_in_eventual_target_direction,2021-12-27 01:35 EST,0.2439024390243506,0.9999999999998899
57,2,accepted,2021-12-27 01:50 EST,2021-12-27 02:20 EST,4.2,True,up,2021-12-27 02:35 EST,box_boundary_in_eventual_target_direction,2021-12-27 02:25 EST,0.19047619047634154,0.8000000000008001
57,3,accepted,2021-12-27 04:10 EST,2021-12-27 04:50 EST,6.7,True,up,2021-12-27 05:05 EST,box_boundary_in_eventual_target_direction,2021-12-27 05:05 EST,0.20895522388065638,1.40000000000029
57,4,accepted,2021-12-27 08:10 EST,2021-12-27 09:00 EST,5.3,True,up,2021-12-27 09:20 EST,box_boundary_in_eventual_target_direction,2021-12-27 09:05 EST,0.6792452830189469,3.60000000000138
