sample,box,status,box_start_new_york,box_end_new_york,box_range_pips,hit_1r_120m,target_dir,target_time_new_york,entry_model,first_break_dir,entry_time_new_york,entry_price,same_direction_target_time_new_york,required_stop_r,required_stop_pips
49,1,accepted,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,True,down,2022-02-28 20:40 EST,first_breakout_close_same_direction_target,down,2022-02-28 19:45 EST,1.12058,2022-02-28 20:40 EST,1.7058823529421754,8.700000000001484
49,3,accepted,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,True,up,2022-03-01 01:45 EST,first_breakout_close_same_direction_target,up,2022-03-01 00:00 EST,1.12018,2022-03-01 01:45 EST,1.7083333333332948,8.20000000000043
49,4,accepted,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,True,up,2022-03-01 02:00 EST,first_breakout_close_same_direction_target,up,2022-03-01 01:40 EST,1.12029,2022-03-01 02:00 EST,0.1578947368419515,1.1999999999989797
50,1,accepted,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,True,up,2023-11-29 06:55 EST,first_breakout_close_same_direction_target,up,2023-11-29 06:35 EST,1.09797,2023-11-29 06:55 EST,0.07246376811578813,0.4999999999988347
50,2,accepted,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,True,down,2023-11-29 08:40 EST,first_breakout_close_same_direction_target,down,2023-11-29 08:35 EST,1.09754,2023-11-29 08:40 EST,0.21621621621614323,1.5999999999993797
50,3,accepted,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,True,up,2023-11-29 13:00 EST,first_breakout_close_same_direction_target,up,2023-11-29 12:05 EST,1.09748,2023-11-29 13:00 EST,0.22988505747119983,1.9999999999997797
50,4,accepted,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,True,up,2023-11-29 13:40 EST,first_breakout_close_same_direction_target,up,2023-11-29 13:00 EST,1.09795,2023-11-29 13:40 EST,1.5106382978724109,7.099999999999884
51,3,accepted,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,True,up,2024-02-07 21:40 EST,first_breakout_close_same_direction_target,up,2024-02-07 21:00 EST,1.07814,2024-02-07 21:40 EST,0.2051282051284679,0.8000000000008001
53,1,accepted,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,True,down,2025-06-24 23:55 EST,first_breakout_close_same_direction_target,down,2025-06-24 23:45 EST,1.16163,2025-06-24 23:55 EST,0.0,0.0
53,2,accepted,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,True,down,2025-06-25 02:55 EST,first_breakout_close_same_direction_target,down,2025-06-25 01:20 EST,1.1611,2025-06-25 02:55 EST,1.9180327868850728,11.699999999998933
54,2,accepted,2024-02-07 06:40 EST,2024-02-07 07:35 EST,8.0,True,up,2024-02-07 08:25 EST,first_breakout_close_same_direction_target,up,2024-02-07 08:00 EST,1.0776,2024-02-07 08:25 EST,0.25,1.9999999999997797
54,3,accepted,2024-02-07 12:10 EST,2024-02-07 12:55 EST,6.4,True,up,2024-02-07 13:10 EST,first_breakout_close_same_direction_target,up,2024-02-07 13:05 EST,1.07689,2024-02-07 13:10 EST,0.0,0.0
55,1,questionable,2021-09-30 13:40 EST,2021-09-30 14:30 EST,9.0,True,up,2021-09-30 14:55 EST,first_breakout_close_same_direction_target,up,2021-09-30 14:35 EST,1.15738,2021-09-30 14:55 EST,0.02222222222237025,0.20000000000131024
55,2,accepted,2021-09-30 17:20 EST,2021-09-30 18:15 EST,4.8,True,down,2021-09-30 19:45 EST,first_breakout_close_same_direction_target,down,2021-09-30 19:10 EST,1.1578,2021-09-30 19:45 EST,0.0,0.0
56,1,accepted,2022-08-28 23:15 EST,2022-08-29 00:10 EST,6.6,True,down,2022-08-29 00:45 EST,first_breakout_close_same_direction_target,down,2022-08-29 00:30 EST,0.99184,2022-08-29 00:45 EST,0.06060606060595356,0.3999999999992898
56,2,accepted,2022-08-29 00:35 EST,2022-08-29 01:20 EST,6.3,True,up,2022-08-29 02:05 EST,first_breakout_close_same_direction_target,up,2022-08-29 01:50 EST,0.99228,2022-08-29 02:05 EST,0.5396825396825341,3.4000000000000696
56,3,accepted,2022-08-29 03:35 EST,2022-08-29 04:05 EST,12.0,True,down,2022-08-29 04:30 EST,first_breakout_close_same_direction_target,down,2022-08-29 04:10 EST,0.99276,2022-08-29 04:30 EST,0.4333333333334043,5.20000000000076
57,1,accepted,2021-12-27 00:35 EST,2021-12-27 01:30 EST,4.1,True,up,2021-12-27 02:25 EST,first_breakout_close_same_direction_target,up,2021-12-27 01:35 EST,1.13186,2021-12-27 02:25 EST,0.5365853658538963,2.20000000000109
57,2,accepted,2021-12-27 01:50 EST,2021-12-27 02:20 EST,4.2,True,up,2021-12-27 02:35 EST,first_breakout_close_same_direction_target,up,2021-12-27 02:25 EST,1.13224,2021-12-27 02:35 EST,0.16666666666666666,0.700000000000145
57,3,accepted,2021-12-27 04:10 EST,2021-12-27 04:50 EST,6.7,True,up,2021-12-27 05:05 EST,first_breakout_close_same_direction_target,up,2021-12-27 05:05 EST,1.13166,2021-12-27 05:10 EST,0.38805970149278957,2.60000000000149
57,4,accepted,2021-12-27 08:10 EST,2021-12-27 09:00 EST,5.3,True,up,2021-12-27 09:20 EST,first_breakout_close_same_direction_target,up,2021-12-27 09:15 EST,1.13154,2021-12-27 09:20 EST,0.0,0.0
