sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_mode,stop_pips,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,stop_price,target_price,risk_pips,reward_pips,reward_to_risk,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,1.12128,1.12027,7.0,3.1,0.443,stop,2022-02-28 19:50 EST,1.12128,-7.0,-8.2,-1.608,-1.171,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,1.1193,1.1203,7.0,3.0,0.429,stop,2022-02-28 22:55 EST,1.1193,-7.0,-8.2,-2.103,-1.171,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,1.11948,1.12046,7.0,2.8,0.4,stop,2022-03-01 00:40 EST,1.11948,-7.0,-8.2,-1.708,-1.171,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,1.11959,1.12088,7.0,5.9,0.843,target,2022-03-01 02:00 EST,1.12088,5.9,4.7,0.618,0.671,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,1.09727,1.0985,7.0,5.3,0.757,target,2023-11-29 06:55 EST,1.0985,5.3,4.1,0.594,0.586,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,1.09824,1.09734,7.0,2.0,0.286,target,2023-11-29 08:40 EST,1.09734,2.0,0.8,0.108,0.114,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,1.09678,1.09789,7.0,4.1,0.586,target,2023-11-29 13:00 EST,1.09789,4.1,2.9,0.333,0.414,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,1.09725,1.09822,7.0,2.7,0.386,stop,2023-11-29 13:15 EST,1.09725,-7.0,-8.2,-1.745,-1.171,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,fixed_pips,7.0,1.0,box_extension_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,1.07696,1.07796,7.0,3.0,0.429,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
