stop_r,target_r,target_mode,risk_per_trade_pct,boxes_tested,signals,targets,stops,time_exits,win_rate,positive_net_trades,negative_net_trades,positive_net_rate,gross_pips_total,gross_pips_avg,net_pips_total,net_pips_avg,net_risk_r_avg,profit_factor_net_pips,sum_net_risk_r,roi_pct,max_drawdown_pct,ending_equity_index
0.25,1.0,box_extension_r,0.5,33,29,12,17,0,0.414,12,17,0.414,16.4,0.57,-18.4,-0.63,-0.332,0.643,-9.626,-4.81,7.03,95.19
0.33,1.0,box_extension_r,0.5,33,29,13,16,0,0.448,13,16,0.448,15.17,0.52,-19.63,-0.68,-0.279,0.66,-8.103,-4.05,5.75,95.95
0.5,1.0,box_extension_r,0.5,33,29,15,14,0,0.517,15,14,0.517,10.95,0.38,-23.85,-0.82,-0.259,0.638,-7.515,-3.74,4.87,96.26
0.75,1.0,box_extension_r,0.5,33,29,17,11,1,0.586,18,11,0.621,14.41,0.5,-20.39,-0.7,-0.131,0.719,-3.796,-1.91,3.11,98.09
1.0,1.0,box_extension_r,0.5,33,29,17,10,2,0.586,18,10,0.621,-0.4,-0.01,-35.2,-1.21,-0.148,0.597,-4.284,-2.14,2.8,97.86
1.25,1.0,box_extension_r,0.5,33,29,17,8,4,0.586,18,10,0.621,-13.86,-0.48,-48.66,-1.68,-0.171,0.518,-4.965,-2.47,2.97,97.53
1.5,1.0,box_extension_r,0.5,33,29,17,7,5,0.586,18,10,0.621,-19.55,-0.67,-54.35,-1.87,-0.166,0.49,-4.801,-2.39,2.81,97.61
1.75,1.0,box_extension_r,0.5,33,29,20,4,5,0.69,21,7,0.724,2.39,0.08,-32.41,-1.12,-0.038,0.638,-1.105,-0.56,1.91,99.44
2.0,1.0,box_extension_r,0.5,33,29,21,3,5,0.724,22,6,0.759,11.2,0.39,-23.6,-0.81,-0.001,0.722,-0.039,-0.03,1.29,99.97
2.25,1.0,box_extension_r,0.5,33,29,21,3,5,0.724,22,6,0.759,4.15,0.14,-30.65,-1.06,-0.013,0.666,-0.37,-0.19,1.26,99.81
2.5,1.0,box_extension_r,0.5,33,29,21,2,6,0.724,23,5,0.793,8.65,0.3,-26.15,-0.9,0.019,0.703,0.553,0.27,1.23,100.27
2.75,1.0,box_extension_r,0.5,33,29,21,2,6,0.724,23,5,0.793,2.57,0.09,-32.23,-1.11,0.011,0.657,0.32,0.16,1.21,100.16
3.0,1.0,box_extension_r,0.5,33,29,21,2,6,0.724,23,5,0.793,-3.5,-0.12,-38.3,-1.32,0.004,0.617,0.124,0.06,1.19,100.06
