sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,1.25,1.0,entry_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.12122,1.12007,6.37,5.1,stop,2022-02-28 19:50 EST,1.12122,-6.37,-7.57,-1.485,-1.188,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,1.25,1.0,entry_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.11951,1.12039,4.87,3.9,stop,2022-02-28 22:15 EST,1.11951,-4.87,-6.07,-1.558,-1.246,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,1.25,1.0,entry_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.11958,1.12066,6.0,4.8,stop,2022-03-01 00:40 EST,1.11958,-6.0,-7.2,-1.5,-1.2,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,1.25,1.0,entry_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.11934,1.12105,9.5,7.6,target,2022-03-01 02:05 EST,1.12105,7.6,6.4,0.842,0.674,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,1.25,1.0,entry_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.09711,1.09866,8.62,6.9,target,2023-11-29 07:15 EST,1.09866,6.9,5.7,0.826,0.661,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,1.25,1.0,entry_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09847,1.0968,9.25,7.4,target,2023-11-29 09:00 EST,1.0968,7.4,6.2,0.838,0.67,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,1.25,1.0,entry_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09639,1.09835,10.88,8.7,target,2023-11-29 13:45 EST,1.09835,8.7,7.5,0.862,0.69,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,1.25,1.0,entry_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09736,1.09842,5.87,4.7,stop,2023-11-29 13:15 EST,1.09736,-5.87,-7.07,-1.505,-1.204,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,1.25,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,1.25,1.0,entry_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.07719,1.07804,4.75,3.8,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
51,3,accepted,user said fine,2024-02-07 19:30 EST,2024-02-07 20:25 EST,3.9,first_close_breakout,1.25,1.0,entry_r,filled,long,2024-02-07 21:00 EST,35.0,1.07814,0.5,1.07765,1.07853,4.87,3.9,time_exit,2024-02-07 22:25 EST,1.07849,3.5,2.3,0.59,0.472,1.2
51,4,accepted,user said fine,2024-02-07 23:50 EST,2024-02-08 00:20 EST,4.4,first_close_breakout,1.25,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
52,1,accepted,good,2024-11-26 02:15 EST,2024-11-26 02:40 EST,12.4,first_close_breakout,1.25,1.0,entry_r,filled,short,2024-11-26 03:10 EST,30.0,1.04719,1.24,1.04874,1.04595,15.5,12.4,stop,2024-11-26 03:20 EST,1.04874,-15.5,-16.7,-1.347,-1.077,1.2
52,2,accepted,good,2024-11-26 05:20 EST,2024-11-26 06:15 EST,11.9,first_close_breakout,1.25,1.0,entry_r,filled,short,2024-11-26 06:20 EST,5.0,1.05054,1.19,1.05203,1.04935,14.88,11.9,stop,2024-11-26 06:45 EST,1.05203,-14.88,-16.08,-1.351,-1.081,1.2
52,4,accepted,good,2024-11-26 12:15 EST,2024-11-26 13:10 EST,10.3,first_close_breakout,1.25,1.0,entry_r,filled,short,2024-11-26 13:25 EST,15.0,1.0462,1.03,1.04749,1.04517,12.88,10.3,time_exit,2024-11-26 14:00 EST,1.0471,-9.0,-10.2,-0.99,-0.792,1.2
53,1,accepted,correct,2025-06-24 22:50 EST,2025-06-24 23:40 EST,5.7,first_close_breakout,1.25,1.0,entry_r,filled,short,2025-06-24 23:45 EST,5.0,1.16163,0.57,1.16234,1.16106,7.12,5.7,target,2025-06-25 01:20 EST,1.16106,5.7,4.5,0.789,0.632,1.2
53,2,accepted,correct,2025-06-25 00:15 EST,2025-06-25 01:10 EST,6.1,first_close_breakout,1.25,1.0,entry_r,filled,short,2025-06-25 01:20 EST,10.0,1.1611,0.61,1.16186,1.16049,7.62,6.1,stop,2025-06-25 01:40 EST,1.16186,-7.62,-8.82,-1.447,-1.157,1.2
53,4,accepted,correct,2025-06-25 07:40 EST,2025-06-25 08:20 EST,8.6,first_close_breakout,1.25,1.0,entry_r,filled,short,2025-06-25 08:25 EST,5.0,1.15957,0.86,1.16065,1.15871,10.75,8.6,stop,2025-06-25 09:40 EST,1.16065,-10.75,-11.95,-1.39,-1.112,1.2
54,1,accepted,all correct,2024-02-07 05:40 EST,2024-02-07 06:20 EST,8.5,first_close_breakout,1.25,1.0,entry_r,filled,long,2024-02-07 06:30 EST,10.0,1.07722,0.85,1.07616,1.07807,10.62,8.5,time_exit,2024-02-07 08:20 EST,1.0779,6.8,5.6,0.659,0.527,1.2
