sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,entry_rule,stop_r,target_r,target_mode,trade_status,direction,signal_time_new_york,signal_minutes_after_box,entry_price,box_break_buffer_pips,stop_price,target_price,risk_pips,reward_pips,outcome,exit_time_new_york,exit_price,gross_pips,net_pips,net_r_vs_box,net_risk_r,spread_pips_round_turn
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,first_close_breakout,2.0,1.0,entry_r,filled,short,2022-02-28 19:45 EST,5.0,1.12058,0.51,1.1216,1.12007,10.2,5.1,target,2022-02-28 21:10 EST,1.12007,5.1,3.9,0.765,0.382,1.2
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,first_close_breakout,2.0,1.0,entry_r,filled,long,2022-02-28 22:05 EST,5.0,1.12,0.5,1.11922,1.12039,7.8,3.9,stop,2022-02-28 22:55 EST,1.11922,-7.8,-9.0,-2.308,-1.154,1.2
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,first_close_breakout,2.0,1.0,entry_r,filled,long,2022-03-01 00:00 EST,5.0,1.12018,0.5,1.11922,1.12066,9.6,4.8,target,2022-03-01 01:45 EST,1.12066,4.8,3.6,0.75,0.375,1.2
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,first_close_breakout,2.0,1.0,entry_r,filled,long,2022-03-01 01:40 EST,10.0,1.12029,0.76,1.11877,1.12105,15.2,7.6,target,2022-03-01 02:05 EST,1.12105,7.6,6.4,0.842,0.421,1.2
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,first_close_breakout,2.0,1.0,entry_r,filled,long,2023-11-29 06:35 EST,10.0,1.09797,0.69,1.09659,1.09866,13.8,6.9,target,2023-11-29 07:15 EST,1.09866,6.9,5.7,0.826,0.413,1.2
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,first_close_breakout,2.0,1.0,entry_r,filled,short,2023-11-29 08:35 EST,30.0,1.09754,0.74,1.09902,1.0968,14.8,7.4,target,2023-11-29 09:00 EST,1.0968,7.4,6.2,0.838,0.419,1.2
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,first_close_breakout,2.0,1.0,entry_r,filled,long,2023-11-29 12:05 EST,15.0,1.09748,0.87,1.09574,1.09835,17.4,8.7,target,2023-11-29 13:45 EST,1.09835,8.7,7.5,0.862,0.431,1.2
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,first_close_breakout,2.0,1.0,entry_r,filled,long,2023-11-29 13:00 EST,20.0,1.09795,0.5,1.09701,1.09842,9.4,4.7,target,2023-11-29 13:50 EST,1.09842,4.7,3.5,0.745,0.372,1.2
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,first_close_breakout,2.0,1.0,entry_r,no_signal,,,,,,,,,,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,first_close_breakout,2.0,1.0,entry_r,filled,long,2024-02-07 18:20 EST,10.0,1.07766,0.5,1.0769,1.07804,7.6,3.8,time_exit,2024-02-07 20:10 EST,1.07778,1.2,-0.0,-0.0,-0.0,1.2
