stop_r,target_r,target_mode,risk_per_trade_pct,boxes_tested,signals,targets,stops,time_exits,win_rate,positive_net_trades,negative_net_trades,positive_net_rate,gross_pips_total,gross_pips_avg,net_pips_total,net_pips_avg,net_risk_r_avg,profit_factor_net_pips,sum_net_risk_r,roi_pct,max_drawdown_pct,ending_equity_index
0.25,1.0,entry_r,0.5,33,29,6,22,1,0.207,7,22,0.241,1.41,0.05,-33.39,-1.15,-0.585,0.496,-16.974,-8.29,11.35,91.71
0.33,1.0,entry_r,0.5,33,29,9,19,1,0.31,10,19,0.345,18.44,0.64,-16.36,-0.56,-0.21,0.76,-6.101,-3.13,5.46,96.87
0.5,1.0,entry_r,0.5,33,29,10,18,1,0.345,11,18,0.379,4.7,0.16,-30.1,-1.04,-0.258,0.654,-7.488,-3.75,5.29,96.25
0.75,1.0,entry_r,0.5,33,29,13,13,3,0.448,15,14,0.517,21.36,0.74,-13.44,-0.46,-0.032,0.851,-0.925,-0.51,2.7,99.49
1.0,1.0,entry_r,0.5,33,29,13,12,4,0.448,15,13,0.517,1.9,0.07,-32.9,-1.13,-0.091,0.7,-2.629,-1.34,2.55,98.66
1.25,1.0,entry_r,0.5,33,29,13,10,6,0.448,15,13,0.517,-16.21,-0.56,-51.01,-1.76,-0.139,0.601,-4.04,-2.03,2.97,97.97
1.5,1.0,entry_r,0.5,33,29,13,9,7,0.448,15,13,0.517,-26.55,-0.92,-61.35,-2.12,-0.15,0.556,-4.36,-2.18,2.96,97.82
1.75,1.0,entry_r,0.5,33,29,16,6,7,0.552,18,10,0.621,-3.26,-0.11,-38.06,-1.31,-0.011,0.697,-0.309,-0.17,1.84,99.83
2.0,1.0,entry_r,0.5,33,29,17,5,7,0.586,19,9,0.655,1.8,0.06,-33.0,-1.14,0.017,0.737,0.479,0.23,1.29,100.23
2.25,1.0,entry_r,0.5,33,29,17,5,7,0.586,19,9,0.655,-9.9,-0.34,-44.7,-1.54,-0.005,0.674,-0.132,-0.08,1.26,99.92
2.5,1.0,entry_r,0.5,33,29,17,4,8,0.586,20,8,0.69,-10.05,-0.35,-44.85,-1.55,0.02,0.675,0.569,0.28,1.23,100.28
2.75,1.0,entry_r,0.5,33,29,17,3,9,0.586,20,8,0.69,-13.13,-0.45,-47.93,-1.65,0.02,0.66,0.573,0.28,1.21,100.28
3.0,1.0,entry_r,0.5,33,29,17,3,9,0.586,20,8,0.69,-22.2,-0.77,-57.0,-1.97,0.01,0.621,0.276,0.13,1.19,100.13
