sample,box,status,note,box_start_new_york,box_end_new_york,box_range_pips,pullback_offset_pips,trade_status,signal_time_new_york,direction,signal_close,signal_band,signal_band_distance_pips,entry_price,signal_minutes_after_box,outcome
49,1,accepted,all boxes fine,2022-02-28 19:10 EST,2022-02-28 19:40 EST,5.1,22.0,no_signal,,,,,,,,
49,2,accepted,all boxes fine,2022-02-28 21:30 EST,2022-02-28 22:00 EST,3.9,22.0,no_trade,2022-02-28 22:55 EST,short,1.11922,1.11931,0.93,1.11711,55.0,signal_close_not_far_enough_for_pullback
49,3,accepted,all boxes fine,2022-02-28 23:20 EST,2022-02-28 23:55 EST,4.8,22.0,no_trade,2022-03-01 00:00 EST,long,1.12018,1.12011,0.66,1.12231,5.0,signal_close_not_far_enough_for_pullback
49,4,accepted,all boxes fine,2022-03-01 00:35 EST,2022-03-01 01:30 EST,7.6,22.0,no_trade,2022-03-01 01:40 EST,long,1.12029,1.12028,0.12,1.12248,10.0,signal_close_not_far_enough_for_pullback
50,1,accepted,all four good,2023-11-29 05:40 EST,2023-11-29 06:25 EST,6.9,22.0,no_trade,2023-11-29 06:35 EST,long,1.09797,1.09789,0.83,1.10009,10.0,signal_close_not_far_enough_for_pullback
50,2,accepted,all four good,2023-11-29 07:25 EST,2023-11-29 08:05 EST,7.4,22.0,no_trade,2023-11-29 08:35 EST,short,1.09754,1.09785,3.06,1.09565,30.0,signal_close_not_far_enough_for_pullback
50,3,accepted,all four good,2023-11-29 11:10 EST,2023-11-29 11:50 EST,8.7,22.0,no_signal,,,,,,,,
50,4,accepted,all four good,2023-11-29 12:10 EST,2023-11-29 12:40 EST,4.7,22.0,no_trade,2023-11-29 13:40 EST,long,1.09818,1.09805,1.3,1.10025,60.0,signal_close_not_far_enough_for_pullback
51,1,accepted,user said fine,2024-02-07 14:00 EST,2024-02-07 14:55 EST,5.4,22.0,no_signal,,,,,,,,
51,2,accepted,user said fine,2024-02-07 17:25 EST,2024-02-07 18:10 EST,3.8,22.0,no_trade,2024-02-07 18:20 EST,long,1.07766,1.07762,0.38,1.07982,10.0,signal_close_not_far_enough_for_pullback
